Brian Olivera, Portero, 31, Argentina, AA Estudiantes (Río Cuarto)
Joaquin Bigo, Portero, 26, Argentina, AA Estudiantes (Río Cuarto)
Francisco Gualiteri, Portero, 22, Argentina, AA Estudiantes (Río Cuarto)
Santiago Heredia, Defensa, 21, Argentina, AA Estudiantes (Río Cuarto)
Giuliano Bono, Defensa, 22, Argentina, AA Estudiantes (Río Cuarto)
Juan Antonini, Defensa central, 26, Argentina, AA Estudiantes (Río Cuarto)
Gonzalo Maffini, Defensa central, 32, Argentina, AA Estudiantes (Río Cuarto)
Sergio Ojeda, Defensa central, 33, Argentina, AA Estudiantes (Río Cuarto)
Matías Pagliaricci, Defensa central, 24, Argentina, AA Estudiantes (Río Cuarto)
Facundo Cobos, Lateral izquierdo, 32, Argentina, AA Estudiantes (Río Cuarto)
Lucas Angelini, Lateral izquierdo, 30, Argentina, AA Estudiantes (Río Cuarto)
Valentín Fenoglio, Lateral derecho, 21, Argentina, AA Estudiantes (Río Cuarto)
Matías Ruiz Díaz, Lateral derecho, 28, Argentina, AA Estudiantes (Río Cuarto)
Alejandro Cabrera, Pivote, 32, Argentina, AA Estudiantes (Río Cuarto)
Fabio Vázquez, Pivote, 31, Argentina, AA Estudiantes (Río Cuarto)
Saúl Nelle, Pivote, 31, Argentina, AA Estudiantes (Río Cuarto)
Victor Beraldi, Pivote, 38, Argentina, AA Estudiantes (Río Cuarto)
Álvaro Cuello, Mediocentro, 30, Argentina, AA Estudiantes (Río Cuarto)
Matías Rosales, Mediocentro, 26, Argentina, AA Estudiantes (Río Cuarto)
José María Aguirre, Interior derecho, 25, Argentina, AA Estudiantes (Río Cuarto)
Brian Orosco, Mediocentro ofensivo, 27, Argentina, AA Estudiantes (Río Cuarto)
Tomás González, Mediocentro ofensivo, 26, Argentina, AA Estudiantes (Río Cuarto)
Fernando Belluschi, Mediocentro ofensivo, 41, Argentina, AA Estudiantes (Río Cuarto)
Gabriel Gudiño, Extremo derecho, 33, Argentina, AA Estudiantes (Río Cuarto)
Agustín Morales, Extremo derecho, 26, Argentina, AA Estudiantes (Río Cuarto)
Mauricio Tévez, Extremo derecho, 28, Argentina, AA Estudiantes (Río Cuarto)
Martín Garnerone, Delantero centro, 26, Argentina, AA Estudiantes (Río Cuarto)
Lucas González, Delantero centro, 27, Argentina, AA Estudiantes (Río Cuarto)
Mauro Valiente, Delantero centro, 25, Argentina, AA Estudiantes (Río Cuarto)
Agustín Fontana, Delantero centro, 28, Argentina, AA Estudiantes (Río Cuarto)
Francisco Galván, Delantero centro, 25, Argentina, AA Estudiantes (Río Cuarto)
Javier Ferreira, Delantero centro, 33, Paraguay, AA Estudiantes (Río Cuarto)
Federico Álvarez, Delantero, 24, Argentina, AA Estudiantes (Río Cuarto)
Marcelo Olivera, Delantero centro, 26, Argentina, AA Estudiantes (Río Cuarto)
Renzo Sordi, Delantero, 21, Argentina, AA Estudiantes (Río Cuarto)
Matías Budiño, Portero, 29, Argentina, CA Estudiantes
Facundo Vila, Portero, 22, Argentina, CA Estudiantes
Nicolás Ortiz, Defensa central, 30, Argentina, CA Estudiantes
Santiago Monzón, Defensa central, 22, Argentina, CA Estudiantes
Jorge Benítez, Defensa central, 30, Argentina, CA Estudiantes
Santiago Borges, Defensa central, 22, Argentina, CA Estudiantes
Nicolás Barrera, Defensa central, 22, Argentina, CA Estudiantes
Franco Quinteros, Lateral izquierdo, 26, Argentina, CA Estudiantes
