Marcos Felipe, Portero, 29, Brasil, Esporte Clube Bahia
Ronaldo, Portero, 28, Brasil, Esporte Clube Bahia
Danilo Fernandes, Portero, 37, Brasil, Esporte Clube Bahia
Gabriel Souza, Portero, 20, Brasil, Esporte Clube Bahia
Santiago Ramos Mingo, Defensa central, 23, Argentina, Esporte Clube Bahia
Gabriel Xavier, Defensa central, 24, Brasil, Esporte Clube Bahia
Kanu, Defensa central, 28, Brasil, Esporte Clube Bahia
David Duarte, Defensa central, 30, Brasil, Esporte Clube Bahia
Iago, Lateral izquierdo, 28, Brasil, Esporte Clube Bahia
Luciano Juba, Lateral izquierdo, 25, Brasil, Esporte Clube Bahia
Gilberto, Lateral derecho, 32, Brasil, Esporte Clube Bahia
Santiago Arias, Lateral derecho, 33, Colombia, Esporte Clube Bahia
André Dhominique, Lateral derecho, 21, Brasil, Esporte Clube Bahia
Caio Alexandre, Pivote, 26, Brasil, Esporte Clube Bahia
Erick, Pivote, 27, Brasil, Esporte Clube Bahia
Nicolás Acevedo, Pivote, 26, Uruguay, Esporte Clube Bahia
Rezende, Pivote, 30, Brasil, Esporte Clube Bahia
Jean Lucas, Mediocentro, 26, Brasil, Esporte Clube Bahia
Rodrigo Nestor, Mediocentro, 24, Brasil, Esporte Clube Bahia
Léo Cittadini, Mediocentro, 31, Brasil, Esporte Clube Bahia
Cauly, Mediocentro ofensivo, 29, Brasil, Esporte Clube Bahia
Everton Ribeiro, Mediocentro ofensivo, 36, Brasil, Esporte Clube Bahia
Erick Pulga, Extremo izquierdo, 24, Brasil, Esporte Clube Bahia
Michel Araújo, Extremo izquierdo, 28, Uruguay, Esporte Clube Bahia
Kayky, Extremo derecho, 21, Brasil, Esporte Clube Bahia
Ademir, Extremo derecho, 30, Brasil, Esporte Clube Bahia
Luciano Rodríguez, Delantero centro, 21, Uruguay, Esporte Clube Bahia
Willian José, Delantero centro, 33, Brasil, Esporte Clube Bahia
Tiago, Delantero, 20, Brasil, Esporte Clube Bahia
Caíque França, Portero, 29, Brasil, Sport Club do Recife
Thiago Couto, Portero, 26, Brasil, Sport Club do Recife
Denis, Portero, 38, Brasil, Sport Club do Recife
Lucas Cunha, Defensa central, 28, Brasil, Sport Club do Recife
João Silva, Defensa central, 26, Portugal, Sport Club do Recife
Antônio Carlos, Defensa central, 32, Brasil, Sport Club do Recife
Chico, Defensa central, 26, Brasil, Sport Club do Recife
Rafael Thyere, Defensa central, 32, Brasil, Sport Club do Recife
Renzo, Defensa central, 23, Brasil, Sport Club do Recife
Dalbert, Lateral izquierdo, 31, Brasil, Sport Club do Recife
