Conan Ledesma, Portero, 32, Argentina, River Plate
Franco Armani, Portero, 38, Argentina, River Plate
Lucas Martínez Quarta, Defensa central, 29, Argentina, River Plate
Paulo Díaz, Defensa central, 30, Chile, River Plate
Federico Gattoni, Defensa central, 26, Argentina, River Plate
Germán Pezzella, Defensa central, 33, Argentina, River Plate
Leandro González Pírez, Defensa central, 33, Argentina, River Plate
Marcos Acuña, Lateral izquierdo, 33, Argentina, River Plate
Milton Casco, Lateral izquierdo, 37, Argentina, River Plate
Gonzalo Montiel, Lateral derecho, 28, Argentina, River Plate
Fabricio Bustos, Lateral derecho, 29, Argentina, River Plate
Kevin Castaño, Pivote, 24, Colombia, River Plate
Matías Kranevitter, Pivote, 32, Argentina, River Plate
Enzo Pérez, Pivote, 39, Argentina, River Plate
Giuliano Galoppo, Mediocentro, 25, Argentina, River Plate
Rodrigo Aliendro, Mediocentro, 34, Argentina, River Plate
Santiago Simón, Interior derecho, 22, Argentina, River Plate
Franco Mastantuono, Mediocentro ofensivo, 17, Argentina, River Plate
Matías Rojas, Mediocentro ofensivo, 29, Paraguay, River Plate
Gonzalo Martínez, Mediocentro ofensivo, 31, Argentina, River Plate
Manuel Lanzini, Mediocentro ofensivo, 32, Argentina, River Plate
Nacho Fernández, Mediocentro ofensivo, 35, Argentina, River Plate
Maximiliano Meza, Extremo derecho, 32, Argentina, River Plate
Gonzalo Tapia, Extremo derecho, 23, Chile, River Plate
Ian Subiabre, Extremo derecho, 18, Argentina, River Plate
Facundo Colidio, Delantero centro, 25, Argentina, River Plate
Sebastián Driussi, Delantero centro, 29, Argentina, River Plate
Miguel Borja, Delantero centro, 32, Colombia, River Plate
Agustín Ruberto, Delantero centro, 19, Argentina, River Plate




Leandro Brey, Portero, 22, Argentina, Boca Juniors
Agustín Marchesín, Portero, 37, Argentina, Boca Juniors
Sergio Romero, Portero, 38, Argentina, Boca Juniors
Javier García, Portero, 38, Argentina, Boca Juniors
Ayrton Costa, Defensa central, 25, Argentina, Boca Juniors
Lautaro Di Lollo, Defensa central, 21, Argentina, Boca Juniors
Nicolás Figal, Defensa central, 31, Argentina, Boca Juniors
Cristian Lema, Defensa central, 35, Argentina, Boca Juniors
Marcos Rojo, Defensa central, 35, Argentina, Boca Juniors
Mateo Mendía, Defensa central, 21, Argentina, Boca Juniors
Lautaro Blanco, Lateral izquierdo, 26, Argentina, Boca Juniors
Marcelo Saracchi, Lateral izquierdo, 27, Uruguay, Boca Juniors
Frank Fabra, Lateral izquierdo, 34, Colombia, Boca Juniors
Juan Barinaga, Lateral derecho, 24, Argentina, Boca Juniors
Lucas Blondel, Lateral derecho, 28, Argentina, Boca Juniors
Luis Advíncula, Lateral derecho, 35, Perú, Boca Juniors
Tomás Belmonte, Pivote, 26, Argentina, Boca Juniors
Ignacio Miramón, Pivote, 21, Argentina, Boca Juniors
Milton Delgado, Pivote, 19, Argentina, Boca Juniors
Rodrigo Battaglia, Pivote, 33, Argentina, Boca Juniors
Esteban Rolón, Pivote, 30, Argentina, Boca Juniors
Camilo Rey Domenech, Pivote, 19, Argentina, Boca Juniors
Williams Alarcón, Mediocentro, 24, Chile, Boca Juniors
Ander Herrera, Mediocentro, 35, España, Boca Juniors
Simón Rivero, Mediocentro, 22, Argentina, Boca Juniors
Carlos Palacios, Mediocentro ofensivo, 24, Chile, Boca Juniors
Agustín Martegani, Mediocentro ofensivo, 25, Argentina, Boca Juniors
Kevin Zenón, Extremo izquierdo, 23, Argentina, Boca Juniors
Brian Aguirre, Extremo izquierdo, 22, Argentina, Boca Juniors
Alan Velasco, Extremo izquierdo, 22, Argentina, Boca Juniors
Lucas Janson, Extremo izquierdo, 30, Argentina, Boca Juniors
Exequiel Zeballos, Extremo derecho, 23, Argentina, Boca Juniors
Miguel Merentiel, Delantero centro, 29, Uruguay, Boca Juniors
Milton Giménez, Delantero centro, 28, Argentina, Boca Juniors
Edinson Cavani, Delantero centro, 38, Uruguay, Boca Juniors


Matías Mansilla, Portero, 29, Argentina, Club Estudiantes de La Plata
Fabricio Iacovich, Portero, 23, Argentina/Croacia, Club Estudiantes de La Plata
Gastón Benedetti, Lateral izquierdo, 24, Argentina, Club Estudiantes de La Plata
Eric Meza, Lateral derecho, 26, Argentina, Club Estudiantes de La Plata
Román Gómez, Lateral derecho, 20, Argentina, Club Estudiantes de La Plata
Santiago Ascacíbar, Mediocentro, 28, Argentina, Club Estudiantes de La Plata
Bautista Kociubinski, Mediocentro, 23, Argentina, Club Estudiantes de La Plata
José Sosa, Mediocentro ofensivo, 39, Argentina, Club Estudiantes de La Plata
Edwuin Cetré, Extremo izquierdo, 27, Colombia, Club Estudiantes de La Plata
Joaquín Tobio Burgos, Extremo izquierdo, 20, Argentina, Club Estudiantes de La Plata
Alexis Manyoma, Extremo izquierdo, 22, Colombia, Club Estudiantes de La Plata
Tiago Palacios, Extremo derecho, 24, Uruguay/Argentina, Club Estudiantes de La Plata
Fabricio Pérez, Extremo derecho, 19, Argentina, Club Estudiantes de La Plata
Mauro Méndez, Delantero centro, 26, Uruguay, Club Estudiantes de La Plata
Luciano Giménez, Delantero centro, 25, Argentina, Club Estudiantes de La Plata
Guido Carrillo, Delantero centro, 33, Argentina, Club Estudiantes de La Plata


Guido Herrera, Portero, 33, Argentina, CA Talleres
Javier Burrai, Portero, 34, Ecuador/Argentina, CA Talleres
Juan Carlos Portillo, Defensa central, 24, Argentina, CA Talleres
Tomás Cardona, Defensa central, 29, Argentina, CA Talleres
Matías Catalán, Defensa central, 32, Chile/Argentina, CA Talleres
