Paulo Gazzaniga, Portero, 33, Argentina, Girona FC
Vladyslav Krapyvtsov, Portero, 19, Ucrania, Girona FC
Juan Carlos, Portero, 37, España, Girona FC
Ladislav Krejci, Defensa central, 26, República Checa, Girona FC
David López, Defensa central, 35, España, Girona FC
Daley Blind, Defensa central, 35, Países Bajos, Girona FC
Juanpe, Defensa central, 34, España, Girona FC
Miguel Gutiérrez, Lateral izquierdo, 23, España, Girona FC
Arnau Martínez, Lateral derecho, 22, España, Girona FC
Alejandro Francés, Lateral derecho, 22, España, Girona FC
Arthur Melo, Pivote, 28, Brasil, Girona FC
Oriol Romeu, Pivote, 33, España, Girona FC
Yangel Herrera, Mediocentro, 27, Venezuela, Girona FC
Donny van de Beek, Mediocentro, 28, Países Bajos, Girona FC
Jhon Solís, Mediocentro, 20, Colombia, Girona FC
Iván Martín, Mediocentro ofensivo, 26, España, Girona FC
Gabriel Misehouy, Mediocentro ofensivo, 19, Países Bajos, Girona FC
Bryan Gil, Extremo izquierdo, 24, España, Girona FC
Arnaut Danjuma, Extremo izquierdo, 28, Países Bajos, Girona FC
Min-su Kim, Extremo izquierdo, 19, Corea del Sur, Girona FC
Viktor Tsygankov, Extremo derecho, 27, Ucrania, Girona FC
Yáser Asprilla, Extremo derecho, 21, Colombia, Girona FC
Portu, Extremo derecho, 33, España, Girona FC
Abel Ruiz, Delantero centro, 25, España, Girona FC
Bojan Miovski, Delantero centro, 25, Macedonia del Norte, Girona FC
Cristhian Stuani, Delantero centro, 38, Uruguay, Girona FC
Unai Simón, Portero, 27, España, Athletic Club
Julen Agirrezabala, Portero, 24, España, Athletic Club
Dani Vivian, Defensa central, 25, España, Athletic Club
Aitor Paredes, Defensa central, 25, España, Athletic Club
Yeray Álvarez, Defensa central, 30, España, Athletic Club
Unai Núñez, Defensa central, 28, España, Athletic Club
Adama Boiro, Lateral izquierdo, 22, España, Athletic Club
Yuri Berchiche, Lateral izquierdo, 35, España, Athletic Club
Andoni Gorosabel, Lateral derecho, 28, España, Athletic Club
