David Raya, Portero, 29, España, Arsenal FC
Neto, Portero, 35, Brasil, Arsenal FC
William Saliba, Defensa central, 24, Francia, Arsenal FC
Gabriel Magalhães, Defensa central, 27, Brasil, Arsenal FC
Jakub Kiwior, Defensa central, 25, Polonia, Arsenal FC
Myles Lewis-Skelly, Lateral izquierdo, 18, Inglaterra, Arsenal FC
Riccardo Calafiori, Lateral izquierdo, 23, Italia, Arsenal FC
Oleksandr Zinchenko, Lateral izquierdo, 28, Ucrania, Arsenal FC
Kieran Tierney, Lateral izquierdo, 27, Escocia, Arsenal FC
Jurrien Timber, Lateral derecho, 23, Países Bajos, Arsenal FC
Ben White, Lateral derecho, 27, Inglaterra, Arsenal FC
Takehiro Tomiyasu, Lateral derecho, 26, Japón, Arsenal FC
Thomas Partey, Pivote, 31, Ghana, Arsenal FC
Jorginho, Pivote, 33, Italia, Arsenal FC
Declan Rice, Mediocentro, 26, Inglaterra, Arsenal FC
Mikel Merino, Mediocentro, 28, España, Arsenal FC
Martin Ødegaard, Mediocentro ofensivo, 26, Noruega, Arsenal FC
Gabriel Martinelli, Extremo izquierdo, 23, Brasil, Arsenal FC
Leandro Trossard, Extremo izquierdo, 30, Bélgica, Arsenal FC
Bukayo Saka, Extremo derecho, 23, Inglaterra, Arsenal FC
Ethan Nwaneri, Extremo derecho, 18, Inglaterra, Arsenal FC
Raheem Sterling, Extremo derecho, 30, Inglaterra, Arsenal FC
Kai Havertz, Delantero centro, 25, Alemania, Arsenal FC
Gabriel Jesus, Delantero centro, 28, Brasil, Arsenal FC
Ederson, Portero, 31, Brasil, Manchester City
Stefan Ortega, Portero, 32, Alemania, Manchester City
Scott Carson, Portero, 39, Inglaterra, Manchester City
Rúben Dias, Defensa central, 28, Portugal, Manchester City
Abdukodir Khusanov, Defensa central, 21, Uzbekistán, Manchester City
Vitor Reis, Defensa central, 19, Brasil, Manchester City
Manuel Akanji, Defensa central, 29, Suiza, Manchester City
John Stones, Defensa central, 31, Inglaterra, Manchester City
Nathan Aké, Defensa central, 30, Países Bajos, Manchester City
Josko Gvardiol, Lateral izquierdo, 23, Croacia, Manchester City
Rico Lewis, Lateral derecho, 20, Inglaterra, Manchester City
Rodri, Pivote, 28, España, Manchester City
Nico González, Mediocentro, 23, España, Manchester City
Matheus Nunes, Mediocentro, 26, Portugal, Manchester City
Mateo Kovacic, Mediocentro, 31, Croacia, Manchester City
İlkay Gündoğan, Mediocentro, 34, Alemania, Manchester City
Bernardo Silva, Mediocentro ofensivo, 30, Portugal, Manchester City
Kevin De Bruyne, Mediocentro ofensivo, 33, Bélgica, Manchester City
James McAtee, Mediocentro ofensivo, 22, Inglaterra, Manchester City
Claudio Echeverri, Mediocentro ofensivo, 19, Argentina, Manchester City
Nico O'Reilly, Mediocentro ofensivo, 20, Inglaterra, Manchester City
Jérémy Doku, Extremo izquierdo, 23, Bélgica, Manchester City
Jack Grealish, Extremo izquierdo, 29, Inglaterra, Manchester City
Phil Foden, Extremo derecho, 25, Inglaterra, Manchester City
Savinho, Extremo derecho, 21, Brasil, Manchester City
Oscar Bobb, Extremo derecho, 21, Noruega, Manchester City
Erling Haaland, Delantero centro, 24, Noruega, Manchester City
Omar Marmoush, Delantero centro, 26, Egipto, Manchester City
Bernd Leno, Portero, 33, Alemania, Fulham FC
Steven Benda, Portero, 26, Alemania, Fulham FC
Joachim Andersen, Defensa central, 29, Dinamarca, Fulham FC
Calvin Bassey, Defensa central, 25, Nigeria, Fulham FC
Issa Diop, Defensa central, 28, Francia, Fulham FC
Jorge Cuenca, Defensa central, 25, España, Fulham FC
Antonee Robinson, Lateral izquierdo, 27, Estados Unidos, Fulham FC
Ryan Sessegnon, Lateral izquierdo, 25, Inglaterra, Fulham FC
Kenny Tete, Lateral derecho, 29, Países Bajos, Fulham FC
Timothy Castagne, Lateral derecho, 29, Bélgica, Fulham FC
Sander Berge, Pivote, 27, Noruega, Fulham FC
Saša Lukić, Mediocentro, 28, Serbia, Fulham FC
Harrison Reed, Mediocentro, 30, Inglaterra, Fulham FC
Tom Cairney, Mediocentro, 34, Escocia, Fulham FC
Josh King, Mediocentro, 18, Inglaterra, Fulham FC
Emile Smith Rowe, Mediocentro ofensivo, 24, Inglaterra, Fulham FC
Alex Iwobi, Mediocentro ofensivo, 29, Nigeria, Fulham FC
Andreas Pereira, Mediocentro ofensivo, 29, Brasil, Fulham FC
Willian, Extremo izquierdo, 36, Brasil, Fulham FC
Martial Godo, Extremo izquierdo, 22, Inglaterra, Fulham FC
Reiss Nelson, Extremo derecho, 25, Inglaterra, Fulham FC
Harry Wilson, Extremo derecho, 28, Gales, Fulham FC
Adama Traoré, Extremo derecho, 29, España, Fulham FC
Rodrigo Muniz, Delantero centro, 24, Brasil, Fulham FC
Raúl Jiménez, Delantero centro, 34, México, Fulham FC
Carlos Vinícius, Delantero centro, 30, Brasil, Fulham FC
André Onana, Portero, 29, Camerún, Manchester United
Altay Bayındır, Portero, 27, Turquía, Manchester United
Tom Heaton, Portero, 39, Inglaterra, Manchester United
Leny Yoro, Defensa central, 19, Francia, Manchester United
Lisandro Martínez, Defensa central, 27, Argentina, Manchester United
Matthijs de Ligt, Defensa central, 25, Países Bajos, Manchester United
Harry Maguire, Defensa central, 32, Inglaterra, Manchester United
Victor Lindelöf, Defensa central, 30, Suecia, Manchester United
Ayden Heaven, Defensa central, 18, Inglaterra, Manchester United
Jonny Evans, Defensa central, 37, Irlanda del Norte, Manchester United
Luke Shaw, Lateral izquierdo, 29, Inglaterra, Manchester United
Harry Amass, Lateral izquierdo, 18, Inglaterra, Manchester United
Diogo Dalot, Lateral derecho, 26, Portugal, Manchester United
Noussair Mazraoui, Lateral derecho, 27, Marruecos, Manchester United
Manuel Ugarte, Pivote, 24, Uruguay, Manchester United
Casemiro, Pivote, 33, Brasil, Manchester United
Toby Collyer, Pivote, 21, Inglaterra, Manchester United
Kobbie Mainoo, Mediocentro, 20, Inglaterra, Manchester United
Christian Eriksen, Mediocentro, 33, Dinamarca, Manchester United
Daniel Gore, Mediocentro, 20, Inglaterra, Manchester United
Patrick Dorgu, Interior izquierdo, 20, Dinamarca, Manchester United
Bruno Fernandes, Mediocentro ofensivo, 30, Portugal, Manchester United
Alejandro Garnacho, Mediocentro ofensivo, 20, Argentina, Manchester United
Mason Mount, Mediocentro ofensivo, 26, Inglaterra, Manchester United
Amad Diallo, Extremo derecho, 22, Costa de Marfil, Manchester United
Rasmus Højlund, Delantero centro, 22, Dinamarca, Manchester United
Joshua Zirkzee, Delantero centro, 24, Países Bajos, Manchester United
Chido Obi, Delantero centro, 17, Dinamarca, Manchester United
Ethan Wheatley, Delantero centro, 19, Inglaterra, Manchester United
Robert Sánchez, Portero, 27, España, Chelsea FC
Filip Jørgensen, Portero, 23, Dinamarca, Chelsea FC
Mike Penders, Portero, 19, Bélgica, Chelsea FC
Lucas Bergström, Portero, 22, Finlandia, Chelsea FC
Marcus Bettinelli, Portero, 33, Inglaterra, Chelsea FC
Levi Colwill, Defensa central, 22, Inglaterra, Chelsea FC
Trevoh Chalobah, Defensa central, 25, Inglaterra, Chelsea FC
Wesley Fofana, Defensa central, 24, Francia, Chelsea FC
Benoît Badiashile, Defensa central, 24, Francia, Chelsea FC
Tosin Adarabioyo, Defensa central, 27, Inglaterra, Chelsea FC
Aarón Anselmino, Defensa central, 20, Argentina, Chelsea FC
Marc Cucurella, Lateral izquierdo, 26, España, Chelsea FC
Malo Gusto, Lateral derecho, 22, Francia, Chelsea FC
Reece James, Lateral derecho, 25, Inglaterra, Chelsea FC
Josh Acheampong, Lateral derecho, 19, Inglaterra, Chelsea FC
Moisés Caicedo, Pivote, 23, Ecuador, Chelsea FC
Roméo Lavia, Pivote, 21, Bélgica, Chelsea FC
Enzo Fernández, Mediocentro, 24, Argentina, Chelsea FC
Kiernan Dewsbury-Hall, Mediocentro, 26, Inglaterra, Chelsea FC
Mathis Amougou, Mediocentro, 19, Francia, Chelsea FC
Cole Palmer, Mediocentro ofensivo, 23, Inglaterra, Chelsea FC
Omari Kellyman, Mediocentro ofensivo, 19, Inglaterra, Chelsea FC
Jadon Sancho, Extremo izquierdo, 25, Inglaterra, Chelsea FC
Mykhaylo Mudryk, Extremo izquierdo, 24, Ucrania, Chelsea FC
Tyrique George, Extremo izquierdo, 19, Inglaterra, Chelsea FC
Pedro Neto, Extremo derecho, 25, Portugal, Chelsea FC
Noni Madueke, Extremo derecho, 23, Inglaterra, Chelsea FC
Nicolas Jackson, Delantero centro, 23, Senegal, Chelsea FC
Christopher Nkunku, Delantero centro, 27, Francia, Chelsea FC
Marc Guiu, Delantero centro, 19, España, Chelsea FC
David Datro Fofana, Delantero centro, 22, Costa de Marfil, Chelsea FC
Jordan Pickford, Portero, 31, Inglaterra, Everton FC
João Virgínia, Portero, 25, Portugal, Everton FC
Asmir Begovic, Portero, 37, Bosnia y Herzegovina, Everton FC
Jarrad Branthwaite, Defensa central, 22, Inglaterra, Everton FC
James Tarkowski, Defensa central, 32, Inglaterra, Everton FC
Michael Keane, Defensa central, 32, Inglaterra, Everton FC
Vitaliy Mykolenko, Lateral izquierdo, 26, Ucrania, Everton FC
Jake O'Brien, Lateral derecho, 24, Irlanda, Everton FC
Nathan Patterson, Lateral derecho, 23, Escocia, Everton FC
Ashley Young, Lateral derecho, 39, Inglaterra, Everton FC
Séamus Coleman, Lateral derecho, 36, Irlanda, Everton FC
Orel Mangala, Pivote, 27, Bélgica, Everton FC
James Garner, Pivote, 24, Inglaterra, Everton FC
Idrissa Gueye, Pivote, 35, Senegal, Everton FC
Carlos Alcaraz, Mediocentro, 22, Argentina, Everton FC
Tim Iroegbunam, Mediocentro, 21, Inglaterra, Everton FC
Abdoulaye Doucouré, Mediocentro, 32, Malí, Everton FC
Dwight McNeil, Extremo izquierdo, 25, Inglaterra, Everton FC
Iliman Ndiaye, Extremo izquierdo, 25, Senegal, Everton FC
Jesper Lindstrøm, Extremo derecho, 25, Dinamarca, Everton FC
Jack Harrison, Extremo derecho, 28, Inglaterra, Everton FC
Beto, Delantero centro, 27, Guinea-Bissau, Everton FC
Dominic Calvert-Lewin, Delantero centro, 28, Inglaterra, Everton FC
Armando Broja, Delantero centro, 23, Albania, Everton FC
Chermiti, Delantero centro, 21, Portugal, Everton FC
Bart Verbruggen, Portero, 22, Países Bajos, Brighton & Hove Albion
Carl Rushworth, Portero, 23, Inglaterra, Brighton & Hove Albion
Jason Steele, Portero, 34, Inglaterra, Brighton & Hove Albion
Tom McGill, Portero, 25, Canadá, Brighton & Hove Albion
Jan Paul van Hecke, Defensa central, 24, Países Bajos, Brighton & Hove Albion
Igor, Defensa central, 27, Brasil, Brighton & Hove Albion
Adam Webster, Defensa central, 30, Inglaterra, Brighton & Hove Albion
Eiran Cashin, Defensa central, 23, Irlanda, Brighton & Hove Albion
Lewis Dunk, Defensa central, 33, Inglaterra, Brighton & Hove Albion
Pervis Estupiñán, Lateral izquierdo, 27, Ecuador, Brighton & Hove Albion
Ferdi Kadıoğlu, Lateral izquierdo, 25, Turquía, Brighton & Hove Albion
Tariq Lamptey, Lateral derecho, 24, Ghana, Brighton & Hove Albion
Joël Veltman, Lateral derecho, 33, Países Bajos, Brighton & Hove Albion
Odeluga Offiah, Lateral derecho, 22, Inglaterra, Brighton & Hove Albion
Carlos Baleba, Pivote, 21, Camerún, Brighton & Hove Albion
Mats Wieffer, Pivote, 25, Países Bajos, Brighton & Hove Albion
Jack Hinshelwood, Mediocentro, 20, Inglaterra, Brighton & Hove Albion
Yasin Ayari, Mediocentro, 21, Suecia, Brighton & Hove Albion
Matt O'Riley, Mediocentro, 24, Dinamarca, Brighton & Hove Albion
Diego Gómez, Mediocentro, 22, Paraguay, Brighton & Hove Albion
James Milner, Mediocentro, 39, Inglaterra, Brighton & Hove Albion
